Item,Description,UoM,AvailableCount,Location,PhysicalCount,SyncID
DP1M010009,685 - 058 - 120 -Rod,Pcs,17,1001,0,1
DP1M020005,WRR-165-113-157 - Cover,Pcs,8,1001,0,2
DP1M030005,Valve Seat Sedi Valvola DL25 NRS (Neoprene),Pcs,24,1001,0,3
DP1M020006,095-110-000 Distributor,Pcs,0,1001,0,4
DP1M030009,Ball Valve NRS DL25,Pcs,59,1001,0,5
DP1M020020,WRR-675-042-115 - Ring,Pcs,89,1001,0,6
DP1M020008,360 - 103 - 360 - Gasket,Pcs,0,1001,0,7
DP1M020037,Valve Seat DL-40-FA-BBB,Pcs,4,1001,0,8
DP1M020007,WRR-360-093-360 - Gasket,Pcs,2,1001,0,9
DP1M010004,WRR-360-104-379 - Gasket,Pcs,41,1001,0,10
DP1M020022,132-035-360 Rings,Pcs,341,1001,0,11
DP1M030034,360-105-425 GASKET INNER CHAMBER. Pos.21 S30 Diaphragm Pump,Pcs,31,1001,0,12
DP1M020023,685-040-120 Rod,Pcs,6,1001,0,13
DP1M020021,720-004-360 Ring,Pcs,84,1001,0,14
DP1M020041,WRR-170055330 - Screw BoLt Half Threaded 12.5 x 63mm,Pcs,0,1001,0,15
DP1M020025,WRR-170-060-330 Screw,Pcs,0,1001,0,16
DP1M020026,170-069-330 Screw 8 x 45mm,Pcs,0,1001,0,17
DP1M020016,031-140-000 Piston,Pcs,0,1001,0,18
PP1M010020,PPB01075 - Bushing,Pcs,50,1001,0,19
SD1M010091,06416553 VALVE. For Burner ATM65 Fig.13 Tav.3111 Cat.001AD042A,Pcs,0,1001,0,20
PP1M010019,PPB01056 - Washer (Rondella),Pcs,0,1001,0,21
DP1M020014,WRR 518-144-156E Manifold (Discharge),Pcs,0,1001,0,22
BC1M010009,Belt Scraper Holder/Tensioner (Triangular Scraper),Pcs,53,1001,0,23
DP1M030035,WRR-050-014-365 BALL 3” for S30 Diaphragm Pump,Pcs,7,1001,0,24
DP1M030017,"VFR0837 Air Valve 03114000 for 3"" Sandpiper Pump",Pcs,0,1001,0,25
DP1M020039,518-146-156 - Manifold,Pcs,1,1001,0,26
DP1M010012,Lower Manifold 251511L,Pcs,1,1001,0,27
DP1M020012,WRR-518-143-156E Manifold (Suction),Pcs,1,1001,0,28
DP1M030033,WRR-095110000 PILOT VALVE ASSEMBLY. POS.4 S30 Diaphragm Pump,Pcs,15,1001,0,29
DP1M020002,WRR-114-024-157 - Body,Pcs,2,1001,0,30
DP1M020042,WRR-031183000 VALVE. Aluminum Air Valve Assembly for S30 Diaphragm Pump (POS.1),Pcs,22,1001,0,31
